RawTimestamp,LocalTime,HR_Direct,HR_Buffered,PPG,GSR,Temperature
1743439196214,12:39:56.214,-1,-1,1354.57875457875,0.672882672882673,33.9164177522762
1743439196233,12:39:56.233,-1,-1,1348.71794871795,0.668442668442668,33.9164177522762
1743439196253,12:39:56.253,-1,-1,1339.19413919414,0.667998667998668,33.9164177522762
1743439196272,12:39:56.272,-1,-1,1323.07692307692,0.66977466977467,33.9164177522762
1743439196292,12:39:56.292,-1,-1,1320.87912087912,0.674658674658675,33.9164177522762
1743439196311,12:39:56.311,-1,-1,1318.68131868132,0.675102675102675,33.9164177522762
1743439196331,12:39:56.331,-1,-1,1320.87912087912,0.672882672882673,33.9164177522762
1743439196350,12:39:56.350,-1,-1,1306.95970695971,0.668442668442668,33.9164177522762
1743439196370,12:39:56.370,-1,-1,1292.30769230769,0.668442668442668,33.9164177522762
1743439196389,12:39:56.389,-1,-1,1295.9706959707,0.671106671106671,33.9164177522762
1743439196409,12:39:56.409,-1,-1,1290.10989010989,0.675102675102675,33.9164177522762
1743439196428,12:39:56.428,-1,-1,1287.91208791209,0.675990675990676,33.9164177522762
1743439196448,12:39:56.448,-1,-1,1280.58608058608,0.673326673326673,33.9164177522762
1743439196467,12:39:56.467,-1,-1,1260.07326007326,0.668886668886669,33.9164177522762
1743439196487,12:39:56.487,-1,-1,1246.88644688645,0.668886668886669,33.9164177522762
1743439196506,12:39:56.506,-1,-1,1284.24908424908,0.671994671994672,33.9164177522762
1743439196526,12:39:56.526,-1,-1,1364.83516483516,0.675990675990676,33.9164177522762
1743439196545,12:39:56.545,-1,-1,1453.47985347985,0.675990675990676,33.9164177522762
1743439196565,12:39:56.565,-1,-1,1534.79853479853,0.672882672882673,33.9164177522762
1743439196584,12:39:56.584,-1,-1,1614.65201465201,0.668886668886669,33.9164177522762
1743439196604,12:39:56.604,-1,-1,1674.72527472527,0.669330669330669,33.9164177522762
1743439196623,12:39:56.623,-1,-1,1723.07692307692,0.672438672438672,33.9164177522762
1743439196643,12:39:56.643,-1,-1,1766.30036630037,0.676434676434676,33.9164177522762
1743439196662,12:39:56.662,-1,-1,1776.55677655678,0.675546675546675,33.9164177522762
1743439196682,12:39:56.682,-1,-1,1764.83516483516,0.672438672438672,33.9164177522762
1743439196701,12:39:56.701,-1,-1,1739.92673992674,0.668886668886669,33.9164177522762
1743439196721,12:39:56.721,-1,-1,1707.69230769231,0.66977466977467,33.9164177522762
1743439196740,12:39:56.740,-1,-1,1679.12087912088,0.673326673326673,33.9164177522762
1743439196760,12:39:56.760,-1,-1,1650.54945054945,0.676434676434676,33.9164177522762
1743439196779,12:39:56.779,-1,-1,1623.44322344322,0.675990675990676,33.9164177522762
1743439196799,12:39:56.799,-1,-1,1594.13919413919,0.671994671994672,33.9164177522762
1743439196818,12:39:56.818,-1,-1,1572.89377289377,0.669330669330669,33.9264232775895
1743439196838,12:39:56.838,-1,-1,1567.03296703297,0.67021867021867,33.9264232775895
1743439196857,12:39:56.857,-1,-1,1563.36996336996,0.673770673770674,33.9264232775895
1743439196877,12:39:56.877,-1,-1,1556.04395604396,0.676434676434676,33.9264232775895
1743439196896,12:39:56.896,-1,-1,1550.91575091575,0.675546675546675,33.9264232775895
1743439196916,12:39:56.916,-1,-1,1539.19413919414,0.671550671550671,33.9264232775895
1743439196935,12:39:56.935,-1,-1,1508.42490842491,0.668886668886669,33.9264232775895
1743439196955,12:39:56.955,-1,-1,1489.37728937729,0.67021867021867,33.9264232775895
1743439196974,12:39:56.974,-1,-1,1484.24908424908,0.673770673770674,33.9264232775895
1743439196994,12:39:56.994,-1,-1,1465.93406593407,0.676434676434676,33.9264232775895
1743439197013,12:39:57.013,-1,-1,1439.56043956044,0.674658674658675,33.9264232775895
1743439197033,12:39:57.033,-1,-1,1410.25641025641,0.670662670662671,33.9264232775895
1743439197052,12:39:57.052,-1,-1,1373.62637362637,0.668886668886669,33.9264232775895
1743439197072,12:39:57.072,-1,-1,1345.05494505494,0.66977466977467,33.9264232775895
1743439197091,12:39:57.091,-1,-1,1339.92673992674,0.674658674658675,33.9264232775895
1743439197111,12:39:57.111,-1,-1,1334.06593406593,0.676434676434676,33.9264232775895
1743439197130,12:39:57.130,-1,-1,1327.47252747253,0.675102675102675,33.9264232775895
1743439197150,12:39:57.150,-1,-1,1320.14652014652,0.67021867021867,33.9264232775895
1743439197169,12:39:57.169,-1,-1,1315.75091575092,0.668442668442668,33.9264232775895
1743439197189,12:39:57.189,-1,-1,1308.42490842491,0.670662670662671,33.9264232775895
1743439197208,12:39:57.208,-1,-1,1304.7619047619,0.675102675102675,33.9264232775895
1743439197228,12:39:57.228,-1,-1,1301.0989010989,0.676434676434676,33.9264232775895
1743439197247,12:39:57.247,-1,-1,1290.84249084249,0.674658674658675,33.9264232775895
1743439197267,12:39:57.267,-1,-1,1293.77289377289,0.66977466977467,33.9264232775895
1743439197286,12:39:57.286,-1,-1,1298.9010989011,0.668886668886669,33.9264232775895
1743439197306,12:39:57.306,-1,-1,1294.50549450549,0.671106671106671,33.9264232775895
1743439197325,12:39:57.325,-1,-1,1297.4358974359,0.675546675546675,33.9264232775895
1743439197345,12:39:57.345,-1,-1,1347.98534798535,0.675990675990676,33.9264232775895
1743439197364,12:39:57.364,-1,-1,1416.84981684982,0.674214674214674,33.9264232775895
1743439197384,12:39:57.384,-1,-1,1510.62271062271,0.66977466977467,33.9264232775895
1743439197403,12:39:57.403,-1,-1,1617.58241758242,0.669330669330669,33.9264232775895
1743439197423,12:39:57.423,-1,-1,1709.15750915751,0.671550671550671,33.9264232775895
1743439197442,12:39:57.442,-1,-1,1774.35897435897,0.675990675990676,33.9264232775895
1743439197462,12:39:57.462,-1,-1,1807.32600732601,0.675990675990676,33.9264232775895
1743439197481,12:39:57.481,-1,-1,1816.11721611722,0.673770673770674,33.9264232775895
1743439197501,12:39:57.501,-1,-1,1807.32600732601,0.669330669330669,33.9264232775895
1743439197520,12:39:57.520,-1,-1,1786.81318681319,0.669330669330669,33.9264232775895
1743439197540,12:39:57.540,-1,-1,1772.89377289377,0.671994671994672,33.9264232775895
1743439197559,12:39:57.559,-1,-1,1747.98534798535,0.676434676434676,33.9264232775895
1743439197579,12:39:57.579,-1,-1,1701.8315018315,0.676434676434676,33.9264232775895
1743439197598,12:39:57.598,-1,-1,1650.54945054945,0.673770673770674,33.9264232775895
1743439197618,12:39:57.618,-1,-1,1604.3956043956,0.669330669330669,33.9264232775895
1743439197637,12:39:57.637,-1,-1,1585.34798534799,0.669330669330669,33.9264232775895
1743439197657,12:39:57.657,-1,-1,1572.89377289377,0.671994671994672,33.9264232775895
1743439197676,12:39:57.676,-1,-1,1567.76556776557,0.675546675546675,33.9264232775895
1743439197696,12:39:57.696,-1,-1,1575.82417582418,0.675102675102675,33.9264232775895
1743439197715,12:39:57.715,-1,-1,1562.63736263736,0.671994671994672,33.9264232775895
1743439197735,12:39:57.735,-1,-1,1548.71794871795,0.667998667998668,33.9264232775895
1743439197754,12:39:57.754,-1,-1,1527.47252747253,0.668442668442668,33.9264232775895
1743439197774,12:39:57.774,-1,-1,1501.0989010989,0.671550671550671,33.9264232775895
1743439197793,12:39:57.793,-1,-1,1468.86446886447,0.675102675102675,33.9264232775895
1743439197813,12:39:57.813,-1,-1,1454.21245421245,0.674214674214674,33.9214205178432
1743439197832,12:39:57.832,-1,-1,1434.43223443223,0.670662670662671,33.9214205178432
1743439197852,12:39:57.852,-1,-1,1407.32600732601,0.667110667110667,33.9214205178432
1743439197871,12:39:57.871,-1,-1,1375.82417582418,0.667998667998668,33.9214205178432
1743439197891,12:39:57.891,-1,-1,1350.91575091575,0.671550671550671,33.9214205178432
1743439197910,12:39:57.910,-1,-1,1334.06593406593,0.674214674214674,33.9214205178432
1743439197930,12:39:57.930,-1,-1,1324.54212454212,0.673326673326673,33.9214205178432
1743439197949,12:39:57.949,-1,-1,1318.68131868132,0.66977466977467,33.9214205178432
1743439197969,12:39:57.969,-1,-1,1310.62271062271,0.666666666666667,33.9214205178432
1743439197988,12:39:57.988,-1,-1,1303.2967032967,0.667554667554667,33.9214205178432
1743439198008,12:39:58.008,-1,-1,1303.2967032967,0.671550671550671,33.9214205178432
1743439198027,12:39:58.027,-1,-1,1302.5641025641,0.673770673770674,33.9214205178432
1743439198047,12:39:58.047,-1,-1,1302.5641025641,0.672882672882673,33.9214205178432
1743439198066,12:39:58.066,-1,-1,1284.98168498168,0.668442668442668,33.9214205178432
1743439198086,12:39:58.086,-1,-1,1265.93406593407,0.665778665778666,33.9214205178432
1743439198105,12:39:58.105,-1,-1,1265.20146520147,0.667110667110667,33.9214205178432
1743439198125,12:39:58.125,-1,-1,1265.93406593407,0.671106671106671,33.9214205178432
1743439198144,12:39:58.144,-1,-1,1271.06227106227,0.673326673326673,33.9214205178432
1743439198164,12:39:58.164,-1,-1,1289.37728937729,0.671550671550671,33.9214205178432
1743439198183,12:39:58.183,-1,-1,1331.86813186813,0.667110667110667,33.9214205178432
1743439198203,12:39:58.203,-1,-1,1408.79120879121,0.665334665334665,33.9214205178432
1743439198222,12:39:58.222,-1,-1,1503.2967032967,0.666666666666667,33.9214205178432
